id,timestamp,symbol,patterns,ml_win_probability,actual_result,pnl
4842,1763867443238,XRPUSDT,"[""shooting_star""]",63.62,,
4843,1763870143238,XRPUSDT,[],58.05,,
4844,1763870443238,XRPUSDT,"[""shooting_star""]",58.36,,
4845,1763870743238,XRPUSDT,[],60.09,,
4846,1763871043238,XRPUSDT,[],59.61,,
4847,1763872543238,XRPUSDT,[],58.17,,
4848,1763874343238,XRPUSDT,"[""bearish_engulfing""]",60.26,,
4849,1763874643238,XRPUSDT,"[""doji""]",65.74,,
4850,1763874943238,XRPUSDT,[],57.17,,
4851,1763879143238,XRPUSDT,"[""bearish_engulfing""]",57.78,,
4852,1763880043238,XRPUSDT,[],64.87,,
4853,1763880343238,XRPUSDT,"[""bullish_engulfing""]",56.63,,
4854,1763881543238,XRPUSDT,[],56.35,,
4855,1763883043238,XRPUSDT,[],57.45,,
4856,1763883343238,XRPUSDT,"[""doji""]",57.5,,
4857,1763884243238,XRPUSDT,"[""doji""]",62.82,,
4858,1763884843238,XRPUSDT,[],63.55,,
4859,1763886343238,XRPUSDT,"[""doji""]",61.59,,
4860,1763888743238,XRPUSDT,[],59.23,,
4861,1763889043238,XRPUSDT,[],57.53,,
4862,1763889643238,XRPUSDT,[],67.04,,
4863,1763890543238,XRPUSDT,[],57.5,,
4864,1763891143238,XRPUSDT,"[""bearish_engulfing""]",62.22,,
4865,1763892343238,XRPUSDT,[],65.01,,
4866,1763892643238,XRPUSDT,[],58.11,,
4867,1763893243238,XRPUSDT,[],63.06,,
4868,1763894143238,XRPUSDT,[],59.18,,
4869,1763895043238,XRPUSDT,[],67.53,,
4870,1763895343238,XRPUSDT,[],65.16,,
4871,1763895643238,XRPUSDT,"[""bearish_engulfing""]",58.49,,
4872,1763895943238,XRPUSDT,[],62.74,,
4873,1763896843238,XRPUSDT,[],62.28,,
4874,1763897743238,XRPUSDT,"[""shooting_star""]",57.33,,
4875,1763898043238,XRPUSDT,"[""doji""]",56.32,,
4876,1763898343238,XRPUSDT,[],58.72,,
4877,1763898643238,XRPUSDT,[],65.95,,
4878,1763899243238,XRPUSDT,[],60.21,,
4879,1763899543238,XRPUSDT,[],61.22,,
4880,1763900443238,XRPUSDT,[],56.42,,
4881,1763901643238,XRPUSDT,[],59.65,,
4882,1763902543238,XRPUSDT,[],56.92,,
4883,1763902843238,XRPUSDT,"[""bearish_engulfing""]",59.54,,
4884,1763903143238,XRPUSDT,[],63.34,,
4885,1763904943238,XRPUSDT,"[""doji""]",62.99,,
4886,1763905543238,XRPUSDT,[],64.06,,
4887,1763906143238,XRPUSDT,[],60.61,,
4888,1763906743238,XRPUSDT,[],59.31,,
4889,1763907043238,XRPUSDT,"[""doji""]",56.73,,
4890,1763907643238,XRPUSDT,"[""shooting_star""]",65.59,,
4891,1763908243238,XRPUSDT,[],65.25,,
4892,1763910643238,XRPUSDT,[],64.93,,
4893,1763911243238,XRPUSDT,[],62.97,,
4894,1763911543238,XRPUSDT,[],63.69,,
4895,1763911843238,XRPUSDT,[],68.68,,
4896,1763912143238,XRPUSDT,[],65.29,,
4897,1763915443238,XRPUSDT,[],58.51,,
4898,1763915743238,XRPUSDT,[],67.78,,
4899,1763916643238,XRPUSDT,[],62.76,,
4900,1763917243238,XRPUSDT,[],72.38,,
4901,1763920243238,XRPUSDT,"[""shooting_star""]",62.28,,
4902,1763921443238,XRPUSDT,[],69.36,,
4903,1763921743238,XRPUSDT,[],67.02,,
4904,1763922643238,XRPUSDT,[],57.72,,
4905,1763922943238,XRPUSDT,[],71.13,,
4906,1763923543238,XRPUSDT,[],68.5,,
4907,1763924143238,XRPUSDT,[],59.4,,
4908,1763925043238,XRPUSDT,[],57.54,,
4909,1763925343238,XRPUSDT,[],68.06,,
4910,1763928343238,XRPUSDT,[],60.54,,
4911,1763928643238,XRPUSDT,"[""doji""]",57.57,,
4912,1763929843238,XRPUSDT,"[""shooting_star""]",64.18,,
